
=== THE LADDER, PER CANDIDATE (400 runs/cell, COMPETENT shipped kit) ===

-- BASELINE (shipped)
encounter              lvl    win  rounds  HP-left  low-water  near-death  denial   dmg/T  breaks    PA
-- F1  Press Advantage base cost 40 -> 52   [CombatEngine.getPressAdvantageCost. No data knob exists for it.]
encounter              lvl    win  rounds  HP-left  low-water  near-death  denial   dmg/T  breaks    PA
karen                   3  98.3%    4.48    78.6%      61.8%        2.5%   31.1%   15.72    0.42  0.39
karen                   4  100.0%    4.27    79.5%      66.8%        0.5%   34.2%   13.55    0.32  0.38
chad                    5  99.3%    4.76    63.1%      57.9%        8.5%   42.4%   16.16    0.59  0.59
chad                    6  100.0%    3.50    89.4%      89.4%        0.0%   61.7%    6.76    0.56  0.27
grandma                 7  100.0%    6.95    85.3%      78.3%        1.3%   24.1%    6.22    0.88  1.89
grandma                 8  100.0%    6.69    88.8%      87.4%        0.3%   25.6%    4.19    0.85  1.72
restructuring_trio      7  100.0%    6.32    59.1%      45.4%       12.3%    8.1%   11.13    0.53  0.89
restructuring_trio      8  100.0%    6.57    58.2%      46.8%        7.0%    5.9%   10.89    0.17  0.81
meredith_boss           8  98.3%    9.60    70.0%      64.2%        6.8%   37.8%   10.10    0.36  1.91
meredith_boss           9  99.8%    7.72    78.2%      75.9%        4.0%   36.7%    8.40    0.23  1.75
regional_director      10  100.0%    5.03    65.8%      64.9%        0.3%   34.7%   18.13    0.17  1.35
algorithm              10  99.8%    6.90    77.9%      76.0%        2.3%   25.7%    8.70    0.62  2.63

-- C1  starting Coffee 75 -> 60 (B24)   [balance.json player block. Already simmed: casual +0.15pp.]
encounter              lvl    win  rounds  HP-left  low-water  near-death  denial   dmg/T  breaks    PA
karen                   3  99.3%    4.17    73.4%      62.6%        1.8%   30.7%   16.26    0.25  0.88
karen                   4  100.0%    3.84    75.7%      67.0%        0.0%   34.2%   13.86    0.29  0.92
chad                    5  99.3%    4.39    65.0%      59.9%        7.5%   41.3%   16.98    0.58  0.74
chad                    6  100.0%    3.52    86.3%      86.2%        0.0%   56.0%    8.69    0.40  0.90
grandma                 7  100.0%    6.57    85.7%      79.1%        1.5%   21.9%    6.40    0.79  2.29
grandma                 8  99.8%    5.82    91.1%      90.6%        0.3%   24.8%    3.69    0.67  2.05
restructuring_trio      7  100.0%    6.17    59.3%      44.6%        9.8%    4.5%   11.81    0.36  1.36
restructuring_trio      8  100.0%    6.18    59.8%      47.9%        7.5%    3.9%   11.58    0.16  1.43
meredith_boss           8  98.3%    9.95    68.8%      60.4%       11.8%   30.4%   12.12    0.35  2.38
meredith_boss           9  99.8%    8.24    73.1%      71.6%        1.8%   36.7%    8.55    0.31  2.32
regional_director      10  100.0%    4.23    76.3%      76.0%        0.0%   33.3%   15.60    0.55  1.91
algorithm              10  99.5%    6.61    78.5%      75.7%        2.8%   24.0%    9.04    0.69  3.28

-- P1  PACKAGE "the boss shows up"  = E1 + B3 + B2   [Turn QUALITY + turn COUNT. Nothing the casual floor can see.]
encounter              lvl    win  rounds  HP-left  low-water  near-death  denial   dmg/T  breaks    PA
karen                   3  98.3%    4.13    72.7%      61.8%        3.3%   24.0%   19.55    0.05  0.81
karen                   4  97.5%    4.13    76.0%      64.3%        4.5%   25.0%   19.84    0.00  0.84
chad                    5  98.8%    4.77    62.9%      54.3%       11.3%   28.9%   20.01    0.34  0.64
chad                    6  100.0%    3.52    83.0%      83.0%        0.0%   45.3%   10.57    0.27  0.92
grandma                 7  91.0%    7.52    67.4%      47.5%       22.0%   10.0%   19.63    0.82  2.03
grandma                 8  96.5%    6.10    72.1%      64.5%        8.5%   13.0%   16.21    0.82  1.95
restructuring_trio      7  100.0%    6.30    58.3%      40.4%       15.3%    6.3%   12.63    0.45  1.07
restructuring_trio      8  99.8%    6.52    57.4%      42.9%       11.5%    6.1%   12.43    0.20  1.13
meredith_boss           8  93.8%    9.30    61.9%      47.8%       19.0%   23.7%   19.36    0.14  2.29
meredith_boss           9  96.0%    8.32    65.9%      56.6%       15.5%   20.6%   18.13    0.09  2.10
regional_director      10  100.0%    4.27    73.1%      71.6%        1.0%   30.6%   18.44    0.00  1.88
algorithm              10  99.3%    6.55    66.7%      59.9%       14.2%   21.6%   16.98    0.46  3.13

-- P2  PACKAGE + rhythm  = P1 + C1 (Coffee 60) + F1 (Press Advantage 52)
encounter              lvl    win  rounds  HP-left  low-water  near-death  denial   dmg/T  breaks    PA
karen                   3  93.0%    5.38    70.8%      55.6%       10.5%   21.7%   23.01    0.08  0.57
karen                   4  97.0%    4.42    75.6%      64.4%        3.8%   28.2%   19.45    0.00  0.27
chad                    5  97.0%    6.21    60.9%      43.8%       19.8%   23.1%   23.23    0.32  0.29
chad                    6  100.0%    3.94    74.5%      73.4%        1.5%   41.9%   15.06    0.35  0.33
grandma                 7  90.0%   10.45    67.2%      41.2%       27.3%    9.2%   18.98    0.92  1.65
grandma                 8  94.5%    7.21    69.1%      58.4%       15.5%   11.9%   17.60    0.81  1.39
restructuring_trio      7  100.0%    6.95    57.9%      36.3%       17.5%    4.6%   13.54    0.57  0.53
restructuring_trio      8  100.0%    7.16    57.6%      39.4%       13.3%    4.0%   12.86    0.30  0.56
meredith_boss           8  85.8%   13.95    57.4%      35.1%       39.5%   16.0%   24.55    0.30  1.57
meredith_boss           9  95.3%   10.63    59.5%      46.0%       22.0%   21.5%   19.56    0.22  1.61
regional_director      10  100.0%    6.00    59.8%      50.2%        6.5%   20.0%   25.12    0.00  1.08
algorithm              10  96.8%    7.91    59.7%      46.6%       25.5%   19.7%   19.62    0.54  2.30

-- P3  P2 + boss ability power x1.15   [The first component the casual floor pays for. Priced, not assumed.]
encounter              lvl    win  rounds  HP-left  low-water  near-death  denial   dmg/T  breaks    PA
karen                   3  81.8%    5.87    71.1%      47.9%       21.3%   19.8%   27.40    0.06  0.55
karen                   4  91.5%    4.80    74.8%      58.4%       10.3%   25.6%   23.79    0.03  0.28
chad                    5  92.3%    7.31    56.5%      37.3%       37.5%   19.8%   28.66    0.34  0.25
chad                    6  99.8%    4.26    70.4%      67.3%        4.5%   38.2%   19.35    0.37  0.29
grandma                 7  84.3%    9.72    68.0%      41.0%       29.5%    9.8%   21.81    0.90  1.58
grandma                 8  92.0%    7.23    67.6%      54.6%       16.5%   12.1%   19.17    0.85  1.37
restructuring_trio      7  98.8%    7.46    57.5%      32.8%       33.5%    6.4%   15.22    0.51  0.47
restructuring_trio      8  99.5%    7.62    55.9%      33.7%       29.0%    4.6%   15.26    0.41  0.41
meredith_boss           8  75.8%   14.13    58.8%      31.2%       44.8%   15.7%   28.56    0.22  1.47
meredith_boss           9  92.3%   11.09    59.5%      40.7%       27.5%   20.9%   22.59    0.19  1.55
regional_director      10  99.8%    5.84    60.9%      47.8%       19.8%   20.7%   27.94    0.00  1.05
algorithm              10  95.5%    8.31    58.8%      43.7%       31.0%   18.6%   21.17    0.43  2.24

-- P4  P2 + boss ability power x1.30  (the "70-85% win" attempt)
encounter              lvl    win  rounds  HP-left  low-water  near-death  denial   dmg/T  breaks    PA
karen                   3  69.0%    6.17    69.6%      39.1%       35.5%   17.7%   31.40    0.09  0.41
karen                   4  81.8%    5.52    74.6%      49.6%       20.3%   21.9%   29.67    0.07  0.28
chad                    5  78.5%   11.28    56.1%      24.8%       57.5%   16.0%   35.68    0.42  0.21
chad                    6  93.5%    6.17    63.5%      52.2%       18.3%   26.0%   28.95    0.34  0.20
grandma                 7  68.5%   10.21    66.9%      29.3%       45.5%    8.5%   27.56    0.82  1.39
grandma                 8  88.0%    7.34    67.5%      50.7%       22.0%   11.8%   22.31    0.84  1.29
restructuring_trio      7  91.8%    7.87    58.4%      24.8%       52.0%    5.4%   17.91    0.57  0.30
restructuring_trio      8  93.5%    7.98    56.2%      28.5%       43.3%    5.3%   17.43    0.37  0.34
meredith_boss           8  64.0%   15.37    61.6%      24.8%       59.5%   14.1%   32.58    0.23  1.41
meredith_boss           9  81.8%   12.22    61.3%      34.6%       41.8%   19.6%   26.90    0.23  1.47
regional_director      10  93.5%    7.65    54.4%      34.7%       31.0%    4.5%   41.61    0.09  0.79
algorithm              10  94.8%    8.39    57.7%      40.1%       36.8%   18.3%   23.18    0.42  2.22
