
=== THE LADDER, PER CANDIDATE (250 runs/cell, COMPETENT shipped kit) ===

-- BASELINE (shipped)
encounter              lvl    win  rounds  HP-left  denial   dmg/T
regional_director      10  91.2%    7.77    58.5%    1.6%   43.38
algorithm              10  100.0%    6.01    77.7%   21.8%   10.26

-- A3  boss ATK +25%   [balance.json enemies block.]
encounter              lvl    win  rounds  HP-left  denial   dmg/T
karen                   3  97.2%    4.27    69.2%   29.4%   19.89
karen                   4  98.8%    4.04    72.5%   30.1%   18.05
chad                    5  99.2%    4.62    62.5%   41.1%   18.16
chad                    6  100.0%    3.49    87.7%   61.2%    7.86
grandma                 7  97.6%    6.27    86.0%   23.0%    7.23
grandma                 8  100.0%    5.78    91.3%   24.0%    3.61
restructuring_trio      7  99.2%    6.38    59.7%    8.4%   12.03
restructuring_trio      8  99.6%    6.66    57.4%    8.5%   12.21
meredith_boss           8  98.4%    8.24    72.7%   38.4%   10.45
meredith_boss           9  99.6%    7.45    80.4%   41.0%    7.43
regional_director      10  100.0%    4.26    73.6%   33.0%   17.60
algorithm              10  99.6%    6.24    78.3%   24.9%   10.14

-- B1  partial lock relief 0.30 -> 0.18   [COMBAT_DEPTH constant. A half-answered objection buys less.]
encounter              lvl    win  rounds  HP-left  denial   dmg/T
karen                   3  99.2%    3.96    74.1%   30.6%   15.65
karen                   4  99.6%    3.89    76.2%   34.1%   14.23
chad                    5  100.0%    4.12    65.6%   41.9%   15.97
chad                    6  100.0%    3.50    88.9%   61.5%    7.05
grandma                 7  100.0%    6.28    86.2%   22.0%    6.57
grandma                 8  100.0%    5.98    88.4%   24.4%    4.46
restructuring_trio      7  100.0%    6.22    59.2%    8.7%   10.33
restructuring_trio      8  100.0%    5.98    59.8%    8.0%   10.00
meredith_boss           8  98.8%    7.90    72.9%   38.6%    9.29
meredith_boss           9  100.0%    7.27    80.5%   41.4%    7.09
regional_director      10  100.0%    4.26    75.3%   31.9%   16.27
algorithm              10  100.0%    6.25    81.1%   25.9%    7.87

-- B2  two locks on the haymakers (p>=34 -> p>=26)   [balance.json enemyAbilities lockCount. Solo Andrew gets one tagged hit a turn.]
encounter              lvl    win  rounds  HP-left  denial   dmg/T
karen                   3  100.0%    3.93    71.6%   31.4%   15.28
karen                   4  99.6%    3.83    78.2%   32.2%   13.37
chad                    5  99.6%    4.12    63.9%   40.7%   16.52
chad                    6  100.0%    3.49    89.1%   60.0%    7.35
grandma                 7  100.0%    6.43    78.4%   13.8%    9.84
grandma                 8  99.6%    5.62    81.7%   15.1%    8.17
restructuring_trio      7  99.6%    6.08    58.6%    8.2%   10.86
restructuring_trio      8  100.0%    6.19    59.3%    8.1%   10.34
meredith_boss           8  98.8%    8.02    73.4%   34.7%    9.88
meredith_boss           9  99.6%    6.86    80.3%   39.5%    7.20
regional_director      10  100.0%    4.22    75.9%   31.8%   16.21
algorithm              10  100.0%    6.00    80.7%   21.5%    8.64

-- B3  DENIAL_LIMIT 2 -> 1   [COMBAT_DEPTH constant. Known risk: a seal also freezes Composure.]
encounter              lvl    win  rounds  HP-left  denial   dmg/T
karen                   3  99.2%    4.09    72.8%   24.1%   19.03
karen                   4  98.4%    3.96    75.2%   25.8%   18.51
chad                    5  99.2%    4.70    62.9%   29.9%   19.58
chad                    6  100.0%    3.57    81.1%   43.1%   12.31
grandma                 7  98.8%    6.55    84.9%   18.9%    7.85
grandma                 8  100.0%    6.00    87.6%   22.4%    5.44
restructuring_trio      7  99.2%    5.95    59.9%    7.0%   10.87
restructuring_trio      8  100.0%    6.33    58.7%    6.6%   11.25
meredith_boss           8  98.0%    8.75    67.7%   30.7%   13.21
meredith_boss           9  97.2%    8.12    69.7%   26.3%   13.57
regional_director      10  100.0%    4.22    73.1%   32.3%   18.11
algorithm              10  100.0%    6.11    77.5%   21.0%   10.31

-- C1  starting Coffee 75 -> 60 (B24)   [balance.json player block. Already simmed: casual +0.15pp.]
encounter              lvl    win  rounds  HP-left  denial   dmg/T
karen                   3  97.6%    4.19    72.2%   30.8%   16.88
karen                   4  100.0%    3.88    75.6%   34.6%   13.81
chad                    5  99.2%    4.47    65.0%   40.9%   17.32
chad                    6  100.0%    3.52    86.2%   56.4%    8.56
grandma                 7  100.0%    6.46    85.8%   21.4%    6.80
grandma                 8  100.0%    5.68    90.4%   24.2%    3.96
restructuring_trio      7  99.6%    6.10    59.7%    3.9%   11.83
restructuring_trio      8  100.0%    6.12    60.3%    2.9%   11.60
meredith_boss           8  97.6%   10.06    68.7%   30.8%   12.23
meredith_boss           9  100.0%    8.30    73.4%   36.1%    8.77
regional_director      10  100.0%    4.24    75.2%   33.3%   16.30
algorithm              10  99.2%    6.53    77.6%   23.5%    9.48

-- C2  coffee_break heal 40 -> 30   [balance.json abilities block. The free starter heal.]
encounter              lvl    win  rounds  HP-left  denial   dmg/T
karen                   3  98.0%    4.05    73.0%   31.0%   15.14
karen                   4  98.4%    3.88    75.7%   33.2%   13.89
chad                    5  95.6%    4.82    64.2%   37.3%   19.37
chad                    6  100.0%    3.44    89.4%   61.3%    7.00
grandma                 7  98.4%    6.36    85.8%   23.3%    6.68
grandma                 8  100.0%    5.82    90.4%   23.7%    3.82
restructuring_trio      7  99.2%    6.23    57.8%    8.1%   10.55
restructuring_trio      8  99.6%    6.22    57.3%    7.6%   10.57
meredith_boss           8  98.0%    8.10    72.4%   37.5%    9.73
meredith_boss           9  97.6%    7.39    78.9%   41.2%    8.17
regional_director      10  100.0%    4.21    74.9%   32.0%   16.56
algorithm              10  100.0%    6.34    79.1%   24.9%    8.57

-- D1  story-boss maxHP x1.25   [balance.json enemies block. H-run says this recovers almost nothing. Verify.]
encounter              lvl    win  rounds  HP-left  denial   dmg/T
karen                   3  99.6%    4.04    76.0%   29.5%   15.05
karen                   4  99.6%    3.82    79.3%   31.8%   13.56
chad                    5  100.0%    4.14    64.3%   42.8%   16.09
chad                    6  100.0%    3.47    89.9%   62.4%    6.53
grandma                 7  100.0%    6.95    86.7%   21.7%    6.04
grandma                 8  100.0%    5.95    90.0%   24.0%    3.92
restructuring_trio      7  100.0%    6.26    57.0%    8.6%   10.91
restructuring_trio      8  99.2%    5.88    59.1%    6.8%   10.95
meredith_boss           8  99.6%    7.83    75.1%   36.4%    8.91
meredith_boss           9  99.6%    6.75    80.2%   33.4%    7.83
regional_director      10  100.0%    3.98    79.3%   32.5%   15.03
algorithm              10  100.0%    6.81    77.4%   27.0%    8.71

-- E1  aggression floor: preferAttack authored on the flabby bosses   [EnemyAI.js rows. Also repairs strategic's degraded-to-random fallback.]
encounter              lvl    win  rounds  HP-left  denial   dmg/T
karen                   3  100.0%    3.93    71.6%   33.2%   14.95
karen                   4  100.0%    3.89    77.0%   34.6%   13.87
chad                    5  100.0%    4.36    64.7%   39.7%   17.14
chad                    6  100.0%    3.54    89.2%   62.3%    6.69
grandma                 7  97.6%    6.67    77.9%   22.7%   11.97
grandma                 8  99.2%    6.13    82.0%   27.6%    8.33
restructuring_trio      7  98.4%    6.56    57.5%    7.9%   12.68
restructuring_trio      8  100.0%    6.59    56.7%    7.5%   11.60
meredith_boss           8  95.6%    9.02    67.5%   37.2%   14.53
meredith_boss           9  98.8%    7.83    74.4%   41.0%   10.45
regional_director      10  100.0%    4.27    75.4%   31.9%   16.08
algorithm              10  100.0%    6.42    72.0%   28.5%   12.69

-- E2  aggression floor, gentle (0.35 everywhere)
encounter              lvl    win  rounds  HP-left  denial   dmg/T
karen                   3  98.4%    4.03    72.3%   31.6%   16.11
karen                   4  100.0%    3.88    76.4%   34.2%   13.73
chad                    5  98.8%    4.43    64.2%   40.3%   17.04
chad                    6  100.0%    3.47    89.5%   62.3%    6.81
grandma                 7  99.2%    6.56    80.4%   23.4%    9.84
grandma                 8  100.0%    5.92    85.0%   26.0%    6.18
restructuring_trio      7  100.0%    6.10    58.2%    7.6%   11.42
restructuring_trio      8  100.0%    6.21    57.4%    7.9%   11.37
meredith_boss           8  99.2%    9.10    68.9%   34.3%   13.62
meredith_boss           9  99.6%    7.63    78.6%   42.7%    8.70
regional_director      10  100.0%    4.23    75.6%   32.1%   16.01
algorithm              10  99.6%    6.30    75.2%   26.7%   11.35
